id_partecipante|nome|email|id_calendario
1|Mario Rossi|mario@email.com|1
2|Luca Bianchi|luca@email.com|1
3|Anna Verdi|anna@email.com|2
4|Sara Neri|sara@email.com|3
5|Paolo Blu|paolo@email.com|2
6|Giulia Gialli|giulia@email.com|4
7|Marco Viola|marco@email.com|5
8|Elena Arancio|elena@email.com|6
9|Roberto Marrone|roberto@email.com|7
10|Francesca Rosa|francesca@email.com|8
11|Davide Grigio|davide@email.com|9
12|Chiara Celeste|chiara@email.com|10
13|Andrea Turchese|andrea@email.com|4
14|Valentina Indaco|valentina@email.com|5
15|Stefano Magenta|stefano@email.com|6
16|Laura Ocra|laura@email.com|7
17|Giovanni Lime|giovanni@email.com|8
18|Alessia Corallo|alessia@email.com|9
19|Simone Ambra|simone@email.com|10
20|Martina Porpora|martina@email.com|1
21|Federico Cremisi|federico@email.com|2
22|Silvia Acquamarina|silvia@email.com|3
23|Riccardo Seppia|riccardo@email.com|4
24|Elisa Carminio|elisa@email.com|5
25|Tommaso Ametista|tommaso@email.com|6
